"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testSample2","Surefire suite","Tue Oct 21 16:37:50 GMT 2025","passed","Tue Oct 21 16:37:50 GMT 2025","com.example.testng.StepTest","Surefire test","com.example.testng.StepTest","testSample2"
"","4","testSample","Surefire suite","Tue Oct 21 16:37:50 GMT 2025","passed","Tue Oct 21 16:37:50 GMT 2025","com.example.testng.StepTest","Surefire test","com.example.testng.StepTest","testSample"
"","27","annotatedStepTest","Surefire suite","Tue Oct 21 16:37:49 GMT 2025","passed","Tue Oct 21 16:37:49 GMT 2025","com.example.testng.StepTest","Surefire test","com.example.testng.StepTest","annotatedStepTest"
"","4","lambdaStepTest","Surefire suite","Tue Oct 21 16:37:50 GMT 2025","passed","Tue Oct 21 16:37:50 GMT 2025","com.example.testng.StepTest","Surefire test","com.example.testng.StepTest","lambdaStepTest"
