"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","lambdaStepTest","Surefire suite","Fri Oct 17 09:12:39 GMT 2025","passed","Fri Oct 17 09:12:39 GMT 2025","com.example.testng.StepTest","Surefire test","com.example.testng.StepTest","lambdaStepTest"
"","27","annotatedStepTest","Surefire suite","Fri Oct 17 09:12:39 GMT 2025","passed","Fri Oct 17 09:12:39 GMT 2025","com.example.testng.StepTest","Surefire test","com.example.testng.StepTest","annotatedStepTest"
"","0","testSample2","Surefire suite","Fri Oct 17 09:12:39 GMT 2025","passed","Fri Oct 17 09:12:39 GMT 2025","com.example.testng.StepTest","Surefire test","com.example.testng.StepTest","testSample2"
"","5","testSample","Surefire suite","Fri Oct 17 09:12:39 GMT 2025","passed","Fri Oct 17 09:12:39 GMT 2025","com.example.testng.StepTest","Surefire test","com.example.testng.StepTest","testSample"
